code,rcn,title
FCH-01-4-2016,"700847","Development of industrialization-ready PEMFC systems and system components"
FCH-04-1-2016,"700851","Novel education and training tools"
JTI-CS2-2016-CFP03-AIR-01-19,"700854","Hybrid Aircraft Seating Requirement Specification and Design - HAIRD"
JTI-CS2-2016-CFP03-LPA-03-07,"700852","Secured and performant wireless connection based on light (LiFi) for EFB, headset and other pilot connected devices"
FCH-02-4-2016,"700850","Co-generation of hydrogen and electricity with high-temperature fuel cells"
LCE-03-2016,"700853","Support to R&I strategy for smart grid and storage"
FCH-01-5-2016,"700848","Develop new complementary technologies for achieving competitive solutions for marine applications"
JTI-CS2-2016-CFP03-ENG-03-10,"700855","Innovations in Titanium investment casting of lightweight structural components for aero engines"
FCH-04-2-2016,"700856","Identification of legal-administrative barriers for the installation and operation of key FCH technologies"
JTI-CS2-2016-CFP03-LPA-02-14,"700857","Assembly Planning and Simulation of an Aircraft Final Assembly Line (FAL)"
JTI-CS2-2016-CFP03-SYS-03-04,"700868","Low Power De-Icing System suitable for Small Aircrafts"
ENG-GLOBALLY-09-2016,"700869","Centres/Networks of European research and innovation"
JTI-CS2-2016-CFP03-AIR-02-23,"700874","Automation of hand lay-up manufacturing process for composite stiffeners"
JTI-CS2-2016-CFP03-ENG-01-08,"700871","Advanced Bearings for Turboprop engine"
JTI-CS2-2016-CFP03-AIR-02-17,"700872","Flexible Test Rig of Aircraft Control Surfaces powered by EMAs"
ENG-GLOBALLY-08-2016-2017,"700870","EU-China cooperation on sustainable urbanisation"
CIP-ICT-PSP.2013.2.1c,"19422","Europeana and creativity – Coordinating Europeana"
CIP-ICT-PSP.2013.5.1,"19398","Open objective for innovation"
INFRAINNOV-02-2016,"700802","Support to Technological Infrastructures"
SC1-PM-01-2016,"700817","Multi omics for personalised therapies addressing diseases of the immune system"
SC1-HCO-01-2016,"700819","Valorisation of FP7 Health and H2020 SC1 research results"
SC1-HCO-04-2016,"700821","Towards globalisation of the Joint Programming Initiative on Antimicrobial resistance"
INFRADEV-02-2016,"700837","Preparatory Phase and support to early phase of ESFRI projects"
FCH-01-8-2016,"700839","Development of innovative hydrogen compressor technology for small scale decentralized applications for hydrogen refuelling or storage"
JTI-CS2-2016-CFP03-ENG-01-06,"700849","Very high loaded planet bearings enabling technologies"
FCH-02-2-2016,"700858","Development of compact reformers for distributed bio-hydrogen production"
JTI-CS2-2016-CFP03-LPA-01-17,"700867","Windtunnel test for flow control at the engine/pylon with a representative aircraft configuration under fully realistic flow conditions"
FOF-09-2017,"701830","Novel design and predictive maintenance technologies for increased operating life of production systems"
IBA-19-CHAIR-2017,"702421","Grant to identified beneficiary to support the Chair of the High Level Expert Group on the interim evaluation of Horizon 2020 *"
ICT-08-2017,"702040","5G PPP Convergent Technologies"
JTI-CS2-2016-CFP03-LPA-01-15,"700892","High Fidelity time-accurate CFD Simulations"
JTI-CS2-2016-CFP03-SYS-02-16,"700896","Optimization two phases cooling solution using micro pump brick"
JTI-CS2-2016-CFP03-AIR-02-26,"700889","Development of innovative automated fiber placement machine for composite fuselage manufacturing with high performance hybrid materials."
FCH-01-9-2016,"700891","Large scale validation of fuel cell bus fleets"
JTI-CS2-2016-CFP03-SYS-02-19,"700888","Eco Design: Composite functionalization: thermal and electrical conductivity"
JTI-CS2-2016-CFP03-SYS-02-14,"700895","Development of electromechanical actuators  and electronic control units for flight control systems"
JTI-CS2-2016-CFP03-SYS-02-18,"700893","Eco Design: Injection of thermoplastic reinforced with long fibers (carbon, glass, Kevlar…) for scroll reinforcement"
JTI-CS2-2016-CFP03-SYS-03-05,"700897","Eco Design: High efficient non-structural landing gear parts based on advanced carbon fiber material systems and highly automated production technologies for helicopter and aircrafts."
JTI-CS2-2016-CFP03-FRC-02-11,"700899","Design and realization of equipped engine compartments for a fast compound rotorcraft"
JTI-CS2-2016-CFP03-FRC-01-10,"700904","Next Generation Fuel Storage System"
JTI-CS2-2016-CFP03-ENG-03-12,"700900","Development of intelligent oil system enablers for large VHBR engine oil lubrication and heat management systems"
JTI-CS2-2016-CFP03-LPA-02-13,"700902","Design for Automated Installation of Linings and Hatracks in Cabin and Cargo"
JTI-CS2-2016-CFP03-LPA-01-14,"700901","Automated injection RTM system process based in innovative sensor technologies in a low cost smart manufacturing tooling prototype and any tooling involved in the manufacture or the validation of the structure"
SFS-41-2016,"700903","EU-Africa Research and Innovation partnership on food and nutrition security and sustainable agriculture"
JTI-CS2-2016-CFP03-LPA-01-13,"700898","Manufacturing of prototype elements for hybridation of titanium and epoxy resin - Characterisation of the Titanium TiCP40 - CFRP adhesive joint"
JTI-CS2-2016-CFP03-AIR-01-15,"700905","Functional top coat for natural laminar flow"
JTI-CS2-2016-CFP03-AIR-01-17,"700906","Orbital Drilling of small (<10mm diameter) holes, standardly spaced with aluminium material in the stack"
JTI-CS2-2016-CFP03-LPA-02-12,"700907","Development of System Components for automated Cabin and Cargo Installation"
JTI-CS2-2016-CFP03-FRC-01-09,"700908","Power Distribution"
JTI-CS2-2016-CFP03-LPA-01-12,"700909","High cycle fatigue prediction methodology for fiber reinforced laminates for  aircraft structures in CROR environment – development and validation"
JTI-CS2-2016-CFP03-ENG-01-09,"700911","Integrated air-oil cooling system"
JTI-CS2-2016-CFP03-AIR-02-24,"700912","Tests for leakage identification on Aircraft fluid mechanical installations"
JTI-CS2-2016-CFP03-SYS-02-15,"700910","Smart oil pressure sensors for all oil cooled starter/generator"
EE-06-2016-2017,"702018","Engaging private consumers towards sustainable energy"
EINFRA-21-2017,"701948","Platform-driven e-infrastructure innovation"
JTI-CS2-2016-CFP04-AIR-02-28,"702260","Development of methods for deriving optimized shapes of morphing structures considering both aerodynamic performances and specific mechanical morphing boundary conditions"
JTI-CS2-2016-CFP04-ENG-03-14,"702278","Fuel injector coking"
JTI-CS2-2016-CFP04-AIR-02-33,"702265","Developing innovative joining concepts and their manufacturing methodologies"
JTI-CS2-2016-CFP04-AIR-01-23,"702257","Novel manufacture of low weight skin without chemical milling"
IBA-ERC-VPRES-SUP-17,"702349","Support to the Vice-Chairs"
IBA-SEWP-WIRE-8-2017,"702419","WIRE VIII Conference"
JTI-CS2-2017-CFP06-ENG-01-22,"702457","Advanced Instrumented Engine cradle of the Turboprop demonstrator"
JTI-CS2-2017-CFP06-SYS-03-12,"702506","Assessment of Partial Discharge and breakdown behaviour of electric insulation materials for very high voltage gradients"
JTI-CS2-2017-CFP06-AIR-02-47,"702445","Part specific process optimization in SLM"
JTI-CS2-2017-CFP06-SYS-03-10,"702501","Electrocoating process for Cr6-free surface treatment of aluminium parts"
JTI-CS2-2017-CFP06-SYS-02-32,"702499","Power module"
EO-1-2017,"701820","Downstream applications"
COMPET-5-2017,"701815","Space Weather"
FCH-02-1-2017,"702594","Game changer Water Electrolysers"
JTI-CS2-2015-CFP02-FRC-01-05,"701745","Design, development and flight qualification of a novel, integrated high efficiency heat exchanger for tiltrotor transmission oil cooling"
CIP-ICT-PSP.2009.3.4,"16654","User Centricity for e-Governance"
CIP-ICT-PSP.2011.3.1,"16559","ICT Solutions for Fall prevention, and ICT and Ageing network"
CIP-ICT-PSP.2012.3.4,"18659","Fall prevention network for older persons"
CIP-ICT-PSP-2007.2.2,"16539","ICT for ageing well"
CIP-ICT-PSP-2007.3.2,"16521","Experience sharing and consensus building in eHealth"
NMBP-31-2017,"701803","Presidency events"
SwafS-20-2016,"700928","ERA Mobility and Career Day"
JTI-CS2-2016-CFP03-FRC-01-08,"700927","High Speed HVDC Generator/Motor"
CIP-01-2016-2017,"701770","Prevention, detection, response and mitigation of the combination of physical and cyber threats to the critical infrastructure of Europe."
DS-05-2016,"701846","EU Cooperation and International Dialogues in Cybersecurity and Privacy Research and Innovation"
SwafS-09-2016,"701864","Moving from constraints to openings, from red lines to new frames in Horizon 2020"
SwafS-04-2016,"701871","Opening Research Organisations in the European Research Area"
SwafS-01-2016,"701879","Participatory research and innovation via Science Shops"
SwafS-03-2016-2017,"701872","Support to research organisations to implement gender equality plans"
SwafS-07-2016,"701865","Training on Open Science in the European Research Area"
SwafS-17-2016,"701854","The Ethics of informed consent in novel treatment including a gender perspective"
H2020-EEN-GA,"702229","2D CONSULTATION EEN BBC H2020"
EE-14-2016-2017,"702017","Construction skills"
EE-09-2016-2017,"702022","Engaging and activating public authorities"
FETHPC-01-2016,"702033","Co-design of HPC systems and applications"
EE-13-2016,"702014","Cost reduction of new Nearly Zero-Energy buildings"
JTI-CS2-2016-CFP04-ENG-02-05,"702272","Substitution of Chromium(VI)-based substances for corrosion protection of Aluminum- and Magnesium alloys"
RPAS-06,"702295","Security & cyber-resilience"
IMI2-2015-07-03,"702160","PATHOLOGICAL NEURON-GLIA INTERACTIONS IN NEUROPATHIC PAIN"
ART-05-2016,"701905","Road infrastructure to support the transition to automation and the coexistence of conventional and automated vehicles on the same network"
MG-4.5-2016,"701916","New ways of supporting development and implementation of neighbourhood-level and urban-district-level transport innovations"
MG-3.5-2016,"701923","Behavioural aspects for safer transport"
MG-3.3-2016,"701919","Safer waterborne transport and maritime operations"
SFS-01-2016,"702091","Solutions to multiple and combined stresses in crop production"
SFS-23-2016,"702075","Improving the technical performance of the Mediterranean aquaculture"
SFS-11-2016,"702102","Challenges for disease management: Perennial crops in the tropics and sub-tropics"
RUR-14-2016,"702065","Advisors' roles in the functioning of AKIS and advisory policies boosting innovation in sustainable agriculture"
SFS-26-2016,"702090","Legumes - transition paths to sustainable legume-based farming systems and agri-feed and food chains"
SC5-01-2016-2017,"701967","Exploiting the added value of climate services"
SC5-21-2016-2017,"701962","Cultural heritage as a driver for sustainable growth"
CIRC-02-2016-2017,"701826","Water in the context of the circular economy"
JTI-CS2-2016-CFP03-FRC-02-09,"702180","Light weight, impact resistant, canopy for fast compound rotorcraft"
SC1-PM-15-2017,"702026","Personalised coaching for well-being and care of people as they age"
SPIRE-13-2017,"702319","Potential of Industrial Symbiosis in Europe"
NMBP-25-2017,"701798","Next generation system integrating tangible and intangible materials model components to support innovation in industry"
CO-CREATION-04-2017,"701845","Applied co-creation to deliver public services"
COMPET-3-2017,"701819","High speed data chain"
SESAR-VLD1-06-2016,"702382","Increased access to airports for low visibility mixed fleet operations"
ICT-23-2017,"701895","Interfaces for accessibility"
ICT-33-2017,"701900","Innovation procurement networks"
SC1-HCO-07-2017,"701984","Global Alliance for Chronic Diseases (GACD) prevention and management of mental disorders"
NMBP-06-2017,"701802","Improved material durability in buildings and infrastructures, including offshore"
BIOTEC-06-2017,"701812","Optimisation of biocatalysis and downstream processing for the sustainable production of high value-added platform chemicals"
SC1-PM-16-2017,"702013","In-silico trials for developing and assessing biomedical products"
SFS-43-2017,"701975","Earth observation services for the monitoring of agricultural production in Africa"
BB-08-2017,"702310","Strategies for improving the bioeconomy knowledge of the general public"
SFS-22-2017,"702076","Smart fisheries technologies for an efficient, compliant and environmentally friendly fishing sector"
SFS-13-2017,"702085","Validation of diagnostic tools for animal and plant health"
CO-CREATION-06-2017,"701848","Policy-development in the age of big data: data-driven policy-making, policy-modelling and policy-implementation"
NMBP-15-2017,"701793","Nanotechnologies for imaging cellular transplants and regenerative processes in vivo"
SC1-PM-03-2017,"701969","Diagnostic characterisation of rare diseases"
SC1-HCO-03-2017,"701986","Implementing the Strategic Research Agenda on Personalised Medicine"
FCH-01-3-2017,"702394","Improvement of compressed storage systems in the perspective of high volume automotive application"
FCH-01-1-2017,"702586","Development of fuel cell system technologies for achieving competitive solutions for aeronautical applications"
FCH-04-5-2017,"702415","Definition of Accelerated Stress Testing (AST) protocols deduced from understanding of degradation mechanisms of aged stack components in Fuel Cell systems"
FCH-01-5-2017,"702587","Large scale demonstration in preparation for a wider roll-out of fuel cell bus fleets (FCB) including new cities  – Phase two"
FCH-01-6-2017,"702590","Large scale demonstration of Hydrogen Refuelling Stations and Fuel Cell Electric Vehicle (FCEV) road vehicles operated in fleet(s)"
CIP-ICT-PSP-2007.1.3,"16570","Innovative solutions for inclusive and efficient eGovernment"
H2020-EEN-SGA2-2017-1,"702417","EEN H2020 SGA2 2D BATCH"
Galileo.2011.1.7-1.,"16260","Use of Galileo and EGNOS services for mass market and in niche sectors (to be mainly provided by SMEs)"
Galileo.2011.1.4-1.,"16259","Use of EGNOS and GALILEO for safety-of-life applications for all transport modes"
Galileo.2011.1.2-1.,"16257","Use of EGNOS and early GALILEO services for professional applications"
Galileo.2011.1.3-1.,"16258","Use of Galileo and EGNOS for scientific applications and innovative applications in new domains"
Galileo.2011.3.1-2.,"16266","Technologies for PRS receivers"
Galileo.2011.4.3-1.,"16263","International activities"
DS-04-2016,"701847","Economics of Cybersecurity"
SEC-07-FCT-2016-2017,"701776","Human Factor for the Prevention, Investigation, and Mitigation of criminal and terrorist acts"
SEC-06-FCT-2016,"701775","Developing a comprehensive approach to violent radicalization in the EU from early understanding to improving protection"
SEC-11-FCT-2016,"701779","Detection techniques on explosives: Countering an explosive threat, across the timeline of a plot"
SEC-08-FCT-2016,"701777","Forensics techniques on: a) trace qualification, and b) broadened use of DNA"
SEC-01-DRS-2016,"701769","Integrated tools for response planning and scenario building"
DS-02-2016,"701839","Cyber Security for SMEs, local public administration and Individuals"
FOF-08-2017,"701829","In-line measurement and control for micro-/nano-enabled high-volume manufacturing for enhanced reliability"
SPIRE-11-2017,"701837","Support for the enhancement of the impact of SPIRE PPP projects"
MG-8-5-2017,"701927","Shifting paradigms: Exploring the dynamics of individual preferences, behaviours and lifestyles influencing travel and mobility choices"
JTI-CS2-2016-CFP03-REG-01-03,"702175","Aileron Actuation Subsystem using EMAs"
FCH-02-9-2017,"702603","Development of next-generation SOFC stack for small stationary applications"
FCH-02-11-2017,"702593","Validation and demonstration of commercial-scale fuel cell core systems within a power range of 10-100kW for selected markets/applications"
FCH-02-2-2017,"702596","Game changer High Temperature Steam Electrolysers"
FCH-04-1-2017,"702599","Limiting the impact of contaminants originating from the hydrogen supply chain"
FCH-02-12-2017,"702597","Demonstration of fuel cell-based energy storage solutions for isolated micro-grid or off-grid remote areas"
DS-06-2017,"701842","Cybersecurity PPP: Cryptography"
SESAR-ER3-01-2016,"702583","Knowledge Transfer Network (KTN)"
SESAR-ER3-03-2016,"702374","Optimised ATM Network Services: TBO"
SESAR-ER3-05-2016,"702376","Enabling Aviation Infrastructure: CNS"
SESAR-VLD1-10-2016,"702388","Safe integration of drones"
SESAR-ER3-06-2016,"702377","ATM Operations, Architecture, Performance and Validation"
SESAR-ER3-04-2016,"702375","Enabling Aviation Infrastructure: CNS for General Aviation"
EINFRA-12-2017,"701949","Data and Distributed Computing e-infrastructures for Open Science"
S2R-CFM-IP1-01-2017,"702341","Development of new technological concepts towards the next generation of rolling stock, applied to major subsystems such as Carbody, Running Gear, Brakes, Doors and Modular interiors"
INFRASUPP-02-2017,"701947","Policy and international cooperation measures for research infrastructures"
INNOSUP-07-2017,"702126","Innovating SMEs - segmentation along lifecycle and sectors (analytical research activity)"
INNOSUP-03-2017,"701971","Technology services to accelerate the uptake of advanced manufacturing technologies for clean production by manufacturing SMEs"
SGA-Space-Perfo-01-2017,"702350","Improving the Performances of the SST at European Level"
JTI-CS2-2017-CFP06-ENG-03-15,"702460","IP Turbine Rear Stages Aero/Noise Rigs"
MSCA-NCP-2017,"701890","MSCA National Contact Points"
JTI-CS2-2017-CFP06-ENG-01-18,"702451","Development of innovative methods and tooling for machining of slender shafts"
ICT-40-2017,"702314","Reinforcing European presence in international ICT standardisation"
LCE-37-2017,"702298","ERA-NET Co-Fund Enhanced cooperation in Smart Local and Regional Energy Networks of the European Energy System"
SC5-31-2017,"702321","Widening international cooperation activities on climate adaptation and mitigation"
ICT-2011.5.6,"14630","ICT solutions for governance and policy modelling"
SC5-22-2017,"701961","Innovative financing, business and governance models for adaptive re-use of cultural heritage"
SC5-19-2017,"701960","Coordination of citizens' observatories initiatives"
SC5-26-2017,"701965","Pre-commercial procurement on soil decontamination"
SC5-18-2017,"701959","Novel in-situ observation systems"
COMPET-2-2017,"701813","Competitiveness in Earth observation mission technologies"
COMPET-6-2017,"701816","Space portal"
GALILEO-2-2017,"701767","EGNSS mass market applications"
COMPET-4-2017,"701817","Scientific data exploitation"
COMPET-7-2017,"701814","Technology transfer and business generators"
MG-4.3-2017,"701912","Innovative approaches for integrating urban nodes in the TEN-T core network corridors"
REV-INEQUAL-12-2017,"702300","Research Social Platform on Migration and Asylum"
MG-5-4-2017,"701926","Potential of the Physical Internet"
REV-INEQUAL-11-2017,"702299","Current European and cross-national comparative research and research actions on Migration"
BG-11-2017,"701976","The effect of climate change on Arctic permafrost and its socio-economic impact, with a focus on coastal areas"
EE-12-2017,"702012","Integration of Demand Response in Energy Management Systems while ensuring interoperability through Public Private Partnership (EeB PPP)"
NMBP-22-2017,"701797","Business models and industrial strategies supporting novel supply chains for innovative product-services"
NMBP-05-2017,"701801","Advanced materials and innovative design for improved functionality and aesthetics in high added value consumer goods"
NMBP-20-2017,"701799","High-performance materials for optimizing carbon dioxide capture"
CIP-ICT-PSP-2007.1.4,"16523","Experience sharing and consensus building in the uptake of innovative eGovernment services"""
CIP-ICT-PSP-2007.2.3,"16522","Experience sharing and consensus building in ICT for inclusion"
CIP-ICT-PSP-2007.4.2,"16644","Supporting sustainable growth"
CIP-ICT-PSP.2008.1.2,"16617","Reduction of Administrative Burdens across the EU"
CIP-ICT-PSP.2008.1.1,"16607","Preparing the implementation of the Services Directive"
CIP-ICT-PSP.2009.5.1,"16582","Machine translation for the multilingual Web"
CIP-ICT-PSP.2009.5.3,"16593","Multilingual Web content management: methods, tools and processes"
CIP-ICT-PSP.2009.2.2,"16516","European Digital Library – aggregating digital content in Europeana"
CIP-ICT-PSP.2009.1.1,"16554","ICT for patient-centred health service"
CIP-ICT-PSP.2009.4.1,"16547","ICT for energy efficiency in social housing"
CIP-ICT-PSP.2009.5.2,"16594","Multilingual Web content management: standards and best practices"
CIP-ICT-PSP.2009.8.1,"16626","Sharing of best practice across European Living Labs involving SMEs as key user- and provider-participants"
CIP-ICT-PSP.2009.2.3,"16517","European Digital Library – Digitising content for Europeana"
CIP-ICT-PSP.2009.1.4,"16465","e-Accessibility thematic network"
CIP-ICT-PSP.2009.3.5,"16510","eParticipation, empower and involve citizens in transparent decision-making in the EU"
CIP-ICT-PSP.2010.3.4,"16423","Assistive technologies and accessibility portal"
CIP-ICT-PSP.2010.2.3,"16461","Digitising content for Europeana"
CIP-ICT-PSP.2010.2.2,"16498","Enhancing/Aggregating content in Europeana"
CIP-ICT-PSP.2010.1.3,"16487","Energy efficient co-operative transport management systems"
CIP-ICT-PSP.2010.1.2,"16558","ICT for water efficiency"
CIP-ICT-PSP.2011.2.1,"16417","Aggregating content in Europeana"
CIP-ICT-PSP.2011.1.1,"16569","Innovative lighting systems based on Solid State Lighting (SSL)"
CIP-ICT-PSP.2011.1.3,"16628","Smart Connected Electro-Mobility"
CIP-ICT-PSP.2011.4.2,"16648","Towards a single European electronic identification and authentication area"
CIP-ICT-PSP.2011.2.2,"16462","Digitising content for Europeana"
CIP-ICT-PSP.2011.3.4,"16484","Empowering patients and supporting widespread deployment of telemedicine services"
CIP-ICT-PSP.2011.1.2,"16546","ICT for Energy Efficiency in Public Buildings"
CIP-ICT-PSP.2012.4.3,"18666","Extension of HeERO (eCall)"
CIP-ICT-PSP.2012.2.2,"18682","Open Data and open access to scientific information"
CIP-ICT-PSP.2012.2.1,"18684","Europeana and creativity"
CIP-ICT-PSP.2012.1.1,"18689","Smart urban digital services for energy efficiency"
CIP-ICT-PSP.2013.2.2a,"19421","Open data – Open data experimentation and innovation building on geographic information"
CIP-ICT-PSP.2013.3.3a,"19409","Networking for health, ageing well and inclusion – Innovation for age friendly cities, buildings and environments"
CIP-ICT-PSP.2013.3.1b,"19412","Preparing large scale deployment of targeted services to support active and healthy ageing – Wide deployment of integrated care"
CIP-ICT-PSP.2013.1.2c,"19427","Smart, sustainable mobility – Preparing public procurement for innovative solutions on intelligent transport systems for smart sustainable mobility"
CIP-ICT-PSP.2013.4.1,"19402","Protection of websites against attacks"
CIP-ICT-PSP.2013.1.1,"19429","Cloud of public services"
CIP-ICT-PSP.2013.3.5,"19404","Biophotonics solutions for diagnosis, monitoring and treatment of disease"
CIP-ICT-PSP.2010.5.3,"16652","Universal ID"
CIP-ICT-PSP.2011.3.2,"16457","Digital competences and social inclusion"
CIP-ICT-PSP.2012.3.3,"18658","Digital capacity and skills"
CIP-ICT-PSP.2012.3.1,"18656","Wide deployment of integrated care services"
CIP-ICT-PSP.2012.3.7,"18662","Community building on active and healthy ageing"
CIP-ICT-PSP.2013.3.2b,"19410","Supporting innovative solutions in eHealth, assisted living and for mobility (in particular through PPI) – Active and healthy ageing and assisted living"
CIP-ICT-PSP-2007.1.2,"16649","Towards pan-European recognition of electronic IDs (eIDs)"
CIP-ICT-PSP.2008.2.3.2,"16448","Consensus building and experience sharing for ICT for energy efficiency and sustainability in urban areas - ICT for sustainable urban development and management"
CIP-ICT-PSP.2008.2.3.1,"16447","Consensus building and experience sharing for ICT for energy efficiency and sustainability in urban areas - ICT for smart distributed power generation"
CIP-ICT-PSP.2008.2.1,"16545","ICT for energy efficiency in public building and spaces, including lighting"
CIP-ICT-PSP.2009.7.2,"16641","Strengthening SME competitive advantage through RFID implementation"
CIP-ICT-PSP.2010.1.1,"16542","ICT for energy and water efficiency in social housing"
CIP-ICT-PSP.2013.3.3d,"19406","Networking for health, ageing well and inclusion – Clinical practice guidelines for eHealth services"
CIP-ICT-PSP.2013.3.3c,"19407","Networking for health, ageing well and inclusion  - Sustainability of EU wide info-structure and collaborative governance"
CIP-ICT-PSP.2013.2.5,"19415","eArchiving services"
CIP-ICT-PSP.2013.3.1a,"19413","Preparing large scale deployment of targeted services to support active and healthy ageing – Telehealth programmes for the management of mental disorders"
SPIRE-07-2017,"701833","Integrated approach to process optimisation for raw material resources efficiency, excluding recovery technologies of waste streams"
RPAS-05,"702294","Datalink"
IMI2-2015-07-07,"702158","INCREASE ACCESS AND USE OF HIGH QUALITY DATA TO IMPROVE CLINICAL OUTCOMES IN HEART FAILURE (HF), ATRIAL FIBRILLATION (AF), AND ACUTE CORONARY SYNDROME (ACS) PATIENTS"
BBI-2016-R05,"702199","Advanced biomaterials for smart food packaging"
Galileo.2011.4.1-1.,"16262","Networks for universities and research institutes, and user fora"
SEC-02-DRS-2016,"701771","Situational awareness systems to support civil protection preparation and operational decision making"
SEC-14-BES-2016,"701783","Towards reducing the cost of technologies in land border security applications"
CIP-ICT-PSP.2013.2.2b,"19420","Open data – Standards for open data"
CIP-ICT-PSP.2013.2.1b,"19423","Europeana and creativity – Promoting the use of Europeana by creative industries"
CIP-ICT-PSP.2013.1.2a,"19428","Smart, sustainable mobility – Piloting ICT based Interoperable Fare Management (IFM) for sustainable mobility in smart cities"
CIP-ICT-PSP.2013.3.4,"19405","Assisted mobility/navigation for older or impaired users"
CIP-ICT-PSP.2013.2.4b,"19416","Digital content technologies for a better Internet for kids – Interoperability of content rating and classification schema"
CIP-ICT-PSP.2013.5.2,"19397","Support to advance Corporate Social Responsibility (CSR) in the ICT sector"
CIP-ICT-PSP.2013.2.3b,"19418","ICT for learning – Organising competitions on educational games"
CIP-ICT-PSP.2013.1.2b,"19395","Smart, sustainable mobility – Piloting cooperative systems for sustainable mobility of goods"
CIP-ICT-PSP-2007.2.1,"16416","Accessible digital Audiovisual (AV) systems"
CIP-ICT-PSP-2007.4.4,"16608","Privacy protection infrastructure"
CIP-ICT-PSP.2009.7.1,"16413","A European infrastructure for secure information management"
CIP-ICT-PSP.2010.5.2,"16478","eJustice services"
CIP-ICT-PSP-2007.4.3,"16575","Intelligent cars"
CIP-ICT-PSP.2008.1.6,"16560","Improving certification of eHealth products"
CIP-ICT-PSP.2008.2.2,"16538","ICT for adaptive urban transport management infrastructure and services"
CIP-ICT-PSP.2008.1.5.1,"16437","Capacity building for eInclusion - Capacity building for inclusive access to on-line public services"
CIP-ICT-PSP.2008.1.3,"16483","Emergency Services Accessible to All -Total conversation"
CIP-ICT-PSP.2008.3.2.1,"16651","Trusted Information Infrastructures and Biometric technologies - Trusted information infrastructures"
CIP-ICT-PSP.2009.3.3,"16561","Inclusive eGovernance: flexible, personalised and multi-channel based service delivery targeted at the socially disadvantaged"
CIP-ICT-PSP.2009.2.4,"16597","Open access to scientific information"
CIP-ICT-PSP.2009.2.1,"16515","European Digital Library - services"
CIP-ICT-PSP.2009.2.5,"16653","Use of cultural heritage material for education"
CIP-ICT-PSP.2009.6.1,"16578","Legal aspects of Public Sector Information"
BBI-2016-R08,"702201","Emerging technologies for conversion of the organic content of Municipal Solid Waste and improving waste-to-chemicals value chains"
REV-INEQUAL-02-2016,"701689","Contemporary radicalisation trends and their implications for Europe"
WIDESPREAD-01-2016-2017,"701688","Teaming Phase 2"
FETOPEN-04-2016-2017,"701690","FET Innovation Launchpad"
SwafS-19-2016,"701852","Networking of National representatives and resources centres on Gender in R&I"
SwafS-16-2016,"701858","Mapping the Ethics and Research Integrity Normative Framework"
SwafS-18-2016,"701853","The Ethics of technologies with high socio-economic impact and Human Rights relevance"
SC1-HCO-17-2017,"702302","Support for large scale uptake of Digital Innovation for Active and Healthy Ageing"
IBA-SC1-BIOMEDICAL-2017,"702423","Grant to map the biomedical research projects funded by major funding organisations around the World"
JTI-CS2-2016-CFP04-REG-01-05,"702244","Green Turboprop - High lift configuration integrating adaptive wing concept - Low Speed experimental validation"
NMBP-04-2017,"701800","Architectured /Advanced material concepts for intelligent bulk material structures"
NMBP-19-2017,"701796","Cost-effective materials for “power-to-chemical” technologies"
NMBP-12-2017,"701790","Development of a reliable methodology for better risk management of engineered biomaterials in Advanced Therapy Medicinal Products and/or Medical Devices"
PILOTS-04-2017,"701823","Pilot Lines for 3D printed and/or injection moulded polymeric or ceramic microfluidic MEMS"
NMBP-35-2017,"701808","Innovative solutions for the conservation of 20th century cultural heritage"
BIOTEC-07-2017,"701810","New Plant Breeding Techniques (NPBT) in molecular farming: Multipurpose crops for industrial bioproducts"
SESAR-VLD1-09-2016,"702386","Solutions for General Aviation and Rotorcraft"
FCH-02-8-2017,"702601","Step-change in manufacturing of Fuel Cell Stack Components"
FCH-04-3-2017,"702412","European Higher Training Network in Fuel Cells and Hydrogen"
FCH-02-6-2017,"702402","Liquid organic hydrogen carrier"
FCH-04-4-2017,"702413","PNR for a safe use of liquid hydrogen"
FCH-02-3-2017,"702595","Reversible Solid Oxide Electrolyser (rSOC) for resilient energy systems"
FCH-02-5-2017,"702598","Demonstration of large electrolysers for bulk renewable hydrogen production"
FCH-02-4-2017,"702600","Highly flexible electrolysers balancing the energy output inside the fence of a wind park"
FCH-02-7-2017,"702403","Development of flexible large fuel cell power plants for grid support"
SC1-HCO-08-2017,"701985","Actions to bridge the divide in European health research and innovation"
LCE-17-2017,"701998","Easier to install and more efficient geothermal systems for retrofitting buildings"
LCE-11-2017,"701993","Near-to-market solutions for reducing the water consumption of CSP Plants"
LCE-18-2017,"702002","EGS in different geological conditions"
SwafS-26-2017,"702317","Science4Refugees - Support to highly skilled refugee scientists"
LCE-14-2017,"701996","Demonstration of large >10MW wind turbine"
SwafS-14-2017,"701859","A Linked-up Global World of RRI"
SwafS-13-2017,"701867","Integrating Society in Science and Innovation – An approach to co-creation"
SwafS-21-2017,"701855","Promoting integrity in the use of research results in evidence based policy: a focus on non-medical research"
SwafS-27-2017,"702318","Implementing a European Train-the-trainers initiative with regard to Ethics and Research Integrity"
SwafS-06-2017,"701870","Engaging industry – Champions for RRI in Industrial Sectors"
DS-08-2017,"701840","Cybersecurity PPP: Privacy, Data Protection, Digital Identities"
DS-07-2017,"701841","Cybersecurity PPP: Addressing Advanced Cyber Security Threats and Threat Actors"
CIP-ICT-PSP.2010.6.1,"16603","Open linguistic infrastructure"
